entityType,table,model,field,recordId,displayName,sku,oldUrl,proposedLocalPath,proposedPublicUrl,duplicateOf,duplicateSafe,usesFallbackName,status,error
products,ProductImage,productImage,url,cmo44qk6200u9pw2ec6rbeg5c,PURJIX PREMIUM OPPO A58 4G DISPLAY CARE OG SET REMOVE,Opp-A58-Dis-001,https://res.cloudinary.com/dkpdgdafm/image/upload/v1776504203/sparekart/products/1000194318_dhubff.jpg,/var/www/purjix-uploads/products/opp-a58-dis-001-purjix-premium-oppo-a58-4g-display-care-og-set-remove-8b33e7c9ec.jpg,/uploads/products/opp-a58-dis-001-purjix-premium-oppo-a58-4g-display-care-og-set-remove-8b33e7c9ec.jpg,,false,false,planned,
products,ProductImage,productImage,url,cmo46yopo00uhpw2ec1109jff,PURJIX PREMIUM OPPO A78 5G DISPLAY CARE OG SET REMOVE,Opp-A78-Dis-001,https://res.cloudinary.com/dkpdgdafm/image/upload/v1776507938/sparekart/products/1000194402_xpg64e.jpg,/var/www/purjix-uploads/products/opp-a78-dis-001-purjix-premium-oppo-a78-5g-display-care-og-set-remove-520eaffcc9.jpg,/uploads/products/opp-a78-dis-001-purjix-premium-oppo-a78-5g-display-care-og-set-remove-520eaffcc9.jpg,,false,false,planned,
products,ProductImage,productImage,url,cmo475ala00utpw2eae2ng4an,PURJIX PREMIUM OPPO A78 5G BACK PANEL,Opp-A78-BacPan-001,https://res.cloudinary.com/dkpdgdafm/image/upload/v1776508249/sparekart/products/1000194408_qusrwo.jpg,/var/www/purjix-uploads/products/opp-a78-bacpan-001-purjix-premium-oppo-a78-5g-back-panel-0afcdf67e1.jpg,/uploads/products/opp-a78-bacpan-001-purjix-premium-oppo-a78-5g-back-panel-0afcdf67e1.jpg,,false,false,planned,
products,ProductImage,productImage,url,cmo479kkd00v0pw2ewtrk6wzi,PURJIX PREMIUM OPPO A78 5G RINGER / LOUDSPEAKER,Opp-A78-Rin-001,https://res.cloudinary.com/dkpdgdafm/image/upload/v1776508452/sparekart/products/1000194406_qploph.jpg,/var/www/purjix-uploads/products/opp-a78-rin-001-purjix-premium-oppo-a78-5g-ringer-loudspeaker-74712b0d75.jpg,/uploads/products/opp-a78-rin-001-purjix-premium-oppo-a78-5g-ringer-loudspeaker-74712b0d75.jpg,,false,false,planned,
products,ProductImage,productImage,url,cmo47dyba00v6pw2ejbob9bkd,PURJIX PREMIUM OPPO A78 5G CHARGING PCB,Opp-A78-Cha-001,https://res.cloudinary.com/dkpdgdafm/image/upload/v1776508652/sparekart/products/1000194405_vhv44w.jpg,/var/www/purjix-uploads/products/opp-a78-cha-001-purjix-premium-oppo-a78-5g-charging-pcb-59557451f4.jpg,/uploads/products/opp-a78-cha-001-purjix-premium-oppo-a78-5g-charging-pcb-59557451f4.jpg,,false,false,planned,
products,ProductImage,productImage,url,cmo47fimm00vapw2eywozy6qe,PURJIX PREMIUM OPPO A78 5G BACK CAMERA,Opp-A78-BacCam-001,https://res.cloudinary.com/dkpdgdafm/image/upload/v1776508035/sparekart/products/1000194403_ai3m19.jpg,/var/www/purjix-uploads/products/opp-a78-baccam-001-purjix-premium-oppo-a78-5g-back-camera-16952e774b.jpg,/uploads/products/opp-a78-baccam-001-purjix-premium-oppo-a78-5g-back-camera-16952e774b.jpg,,false,false,planned,
products,ProductImage,productImage,url,cmo47ifa900vgpw2eru1g0bze,PURJIX PREMIUM OPPO A78 5G MIDDLE FLEX,Opp-A78-MidFle-001,https://res.cloudinary.com/dkpdgdafm/image/upload/v1776508862/sparekart/products/1000194404_ooy0s2.jpg,/var/www/purjix-uploads/products/opp-a78-midfle-001-purjix-premium-oppo-a78-5g-middle-flex-005a93b703.jpg,/uploads/products/opp-a78-midfle-001-purjix-premium-oppo-a78-5g-middle-flex-005a93b703.jpg,,false,false,planned,
products,ProductImage,productImage,url,cmo47m35600vmpw2e4syissgs,PURJIX PREMIUM OPPO A78 5G BATTERY,Opp-A78-Bat-001,https://res.cloudinary.com/dkpdgdafm/image/upload/v1776509035/sparekart/products/1000194410_hvdx38.jpg,/var/www/purjix-uploads/products/opp-a78-bat-001-purjix-premium-oppo-a78-5g-battery-b868b85f73.jpg,/uploads/products/opp-a78-bat-001-purjix-premium-oppo-a78-5g-battery-b868b85f73.jpg,,false,false,planned,
products,ProductImage,productImage,url,cmo47v46500vspw2epefm2fq9,PURJIX PREMIUM OPPO A78 5G FINGER SENSOR,Opp-A78-Fin-001,https://res.cloudinary.com/dkpdgdafm/image/upload/v1776509455/sparekart/products/1000194409_migyjh.jpg,/var/www/purjix-uploads/products/opp-a78-fin-001-purjix-premium-oppo-a78-5g-finger-sensor-81c7811f8e.jpg,/uploads/products/opp-a78-fin-001-purjix-premium-oppo-a78-5g-finger-sensor-81c7811f8e.jpg,,false,false,planned,
products,ProductImage,productImage,url,cmo47xkja00vzpw2emqxdzlt1,PURJIX PREMIUM OPPO A78 5G MIDDLE BODY,Opp-A78-MidBod-001,https://res.cloudinary.com/dkpdgdafm/image/upload/v1776509571/sparekart/products/1000194407_tovgdf.jpg,/var/www/purjix-uploads/products/opp-a78-midbod-001-purjix-premium-oppo-a78-5g-middle-body-c5ac4d0356.jpg,/uploads/products/opp-a78-midbod-001-purjix-premium-oppo-a78-5g-middle-body-c5ac4d0356.jpg,,false,false,planned,
products,ProductImage,productImage,url,cmo4amhxh00w8pw2em0ck9bjn,PURJIX PREMIUM OPPO K13X 5G DISPLAY CARE OG SET REMOVE,Opp-K13X-Dis-001,https://res.cloudinary.com/dkpdgdafm/image/upload/v1776514093/sparekart/products/1000194465_eblng7.jpg,/var/www/purjix-uploads/products/opp-k13x-dis-001-purjix-premium-oppo-k13x-5g-display-care-og-set-remove-b67847c27b.jpg,/uploads/products/opp-k13x-dis-001-purjix-premium-oppo-k13x-5g-display-care-og-set-remove-b67847c27b.jpg,,false,false,planned,
products,ProductImage,productImage,url,cmo4apr7n00wepw2edadtgkah,PURJIX PREMIUM OPPO K13X 5G BACK CAMERA,Opp-K13X-BacCam-001,https://res.cloudinary.com/dkpdgdafm/image/upload/v1776514224/sparekart/products/1000194470_sc6gci.jpg,/var/www/purjix-uploads/products/opp-k13x-baccam-001-purjix-premium-oppo-k13x-5g-back-camera-c79aaaa143.jpg,/uploads/products/opp-k13x-baccam-001-purjix-premium-oppo-k13x-5g-back-camera-c79aaaa143.jpg,,false,false,planned,
products,ProductImage,productImage,url,cmo4as62m00wkpw2erpktrkue,PURJIX PREMIUM OPPO K13X 5G FRONT CAMERA,Opp-K13X-FroCam-001,https://res.cloudinary.com/dkpdgdafm/image/upload/v1776514352/sparekart/products/1000194467_ybnijy.jpg,/var/www/purjix-uploads/products/opp-k13x-frocam-001-purjix-premium-oppo-k13x-5g-front-camera-a2821b52ac.jpg,/uploads/products/opp-k13x-frocam-001-purjix-premium-oppo-k13x-5g-front-camera-a2821b52ac.jpg,,false,false,planned,
products,ProductImage,productImage,url,cmo4avk4b00wqpw2er42bsc6n,PURJIX PREMIUM OPPO K13X 5G RINGER / LOUDSPEAKER,Opp-K13X-Rin-001,https://res.cloudinary.com/dkpdgdafm/image/upload/v1776514516/sparekart/products/1000194471_zoajn2.jpg,/var/www/purjix-uploads/products/opp-k13x-rin-001-purjix-premium-oppo-k13x-5g-ringer-loudspeaker-16a2c768a7.jpg,/uploads/products/opp-k13x-rin-001-purjix-premium-oppo-k13x-5g-ringer-loudspeaker-16a2c768a7.jpg,,false,false,planned,
products,ProductImage,productImage,url,cmo4az8gc00wwpw2ee8zozde4,PURJIX PREMIUM OPPO K13X 5G BACK PANEL,Opp-K13X-BacPan-001,https://res.cloudinary.com/dkpdgdafm/image/upload/v1776514686/sparekart/products/1000194463_m2ea1p.jpg,/var/www/purjix-uploads/products/opp-k13x-bacpan-001-purjix-premium-oppo-k13x-5g-back-panel-07a9519b42.jpg,/uploads/products/opp-k13x-bacpan-001-purjix-premium-oppo-k13x-5g-back-panel-07a9519b42.jpg,,false,false,planned,
products,ProductImage,productImage,url,cmo4b3jgi00x3pw2ea9dfbyae,PURJIX PREMIUM OPPO K13X 5G FINGER SENSOR,Opp-K13X-Fin-001,https://res.cloudinary.com/dkpdgdafm/image/upload/v1776514888/sparekart/products/1000194464_qsxjhk.jpg,/var/www/purjix-uploads/products/opp-k13x-fin-001-purjix-premium-oppo-k13x-5g-finger-sensor-d4158902b8.jpg,/uploads/products/opp-k13x-fin-001-purjix-premium-oppo-k13x-5g-finger-sensor-d4158902b8.jpg,,false,false,planned,
products,ProductImage,productImage,url,cmo4b6o1w00xapw2ep20flne2,PURJIX PREMIUM OPPO K13X 5G CHARGING PCB,Opp-K13X-Cha-001,https://res.cloudinary.com/dkpdgdafm/image/upload/v1776515031/sparekart/products/1000194469_vuskxd.jpg,/var/www/purjix-uploads/products/opp-k13x-cha-001-purjix-premium-oppo-k13x-5g-charging-pcb-815eabe2c5.jpg,/uploads/products/opp-k13x-cha-001-purjix-premium-oppo-k13x-5g-charging-pcb-815eabe2c5.jpg,,false,false,planned,
products,ProductImage,productImage,url,cmo4ben7600xgpw2e5c61qiqt,PURJIX PREMIUM OPPO K13X 5G BATTERY,Opp-K13X-Bat-001,https://res.cloudinary.com/dkpdgdafm/image/upload/v1776515403/sparekart/products/1000194460_hqiwo2.png,/var/www/purjix-uploads/products/opp-k13x-bat-001-purjix-premium-oppo-k13x-5g-battery-6d8fdb9409.png,/uploads/products/opp-k13x-bat-001-purjix-premium-oppo-k13x-5g-battery-6d8fdb9409.png,,false,false,planned,
products,ProductImage,productImage,url,cmo4bhu8a00xmpw2egi9rzoxy,PURJIX PREMIUM OPPO K13X 5G MIDDLE FLEX,Opp-K13X-MidFle-001,https://res.cloudinary.com/dkpdgdafm/image/upload/v1776515556/sparekart/products/1000194466_flrh8w.jpg,/var/www/purjix-uploads/products/opp-k13x-midfle-001-purjix-premium-oppo-k13x-5g-middle-flex-62a3fa0d62.jpg,/uploads/products/opp-k13x-midfle-001-purjix-premium-oppo-k13x-5g-middle-flex-62a3fa0d62.jpg,,false,false,planned,
products,ProductImage,productImage,url,cmo4cr9pc00xtpw2exeibckwy,PURJIX PREMIUM OPPO K13X 5G EARPHONE PCB,Opp-K13X-EarPcb-001,https://res.cloudinary.com/dkpdgdafm/image/upload/v1776517675/sparekart/products/1000194468_huumin.jpg,/var/www/purjix-uploads/products/opp-k13x-earpcb-001-purjix-premium-oppo-k13x-5g-earphone-pcb-6f6e352a73.jpg,/uploads/products/opp-k13x-earpcb-001-purjix-premium-oppo-k13x-5g-earphone-pcb-6f6e352a73.jpg,,false,false,planned,
products,ProductImage,productImage,url,cmo4cv0it00xzpw2ef1p4u9vz,PURJIX PREMIUM OPPO K13X 5G SIM TRAY,Opp-K13X-Simtra-001,https://res.cloudinary.com/dkpdgdafm/image/upload/v1776517849/sparekart/products/1000194462_cf8b76.jpg,/var/www/purjix-uploads/products/opp-k13x-simtra-001-purjix-premium-oppo-k13x-5g-sim-tray-4bf08cb661.jpg,/uploads/products/opp-k13x-simtra-001-purjix-premium-oppo-k13x-5g-sim-tray-4bf08cb661.jpg,,false,false,planned,
products,ProductImage,productImage,url,cmo77b2za0006rz2ay81gu122,PURJIX PREMIUM OPPO RENO 10 5G BACK PANEL,Opp-Ren10-Bacpan-001,https://res.cloudinary.com/dkpdgdafm/image/upload/v1776689918/sparekart/products/1000195712_fbegq8.jpg,/var/www/purjix-uploads/products/opp-ren10-bacpan-001-purjix-premium-oppo-reno-10-5g-back-panel-9a4be69b68.jpg,/uploads/products/opp-ren10-bacpan-001-purjix-premium-oppo-reno-10-5g-back-panel-9a4be69b68.jpg,,false,false,planned,
products,ProductImage,productImage,url,cmo77cxiz000drz2a0xqbd8eq,PURJIX PREMIUM OPPO RENO 10 5G FRONT CAMERA,Opp-Ren10-FroCam-001,https://res.cloudinary.com/dkpdgdafm/image/upload/v1776690006/sparekart/products/1000195711_qle8fe.jpg,/var/www/purjix-uploads/products/opp-ren10-frocam-001-purjix-premium-oppo-reno-10-5g-front-camera-78b803a84b.jpg,/uploads/products/opp-ren10-frocam-001-purjix-premium-oppo-reno-10-5g-front-camera-78b803a84b.jpg,,false,false,planned,
products,ProductImage,productImage,url,cmo77eqp2000jrz2a6zshgofc,PURJIX PREMIUM OPPO RENO 10 5G BACK CAMERA,Opp-Ren-BacCam-001,https://res.cloudinary.com/dkpdgdafm/image/upload/v1776690090/sparekart/products/1000195715_k07jb5.jpg,/var/www/purjix-uploads/products/opp-ren-baccam-001-purjix-premium-oppo-reno-10-5g-back-camera-4ac19dcf21.jpg,/uploads/products/opp-ren-baccam-001-purjix-premium-oppo-reno-10-5g-back-camera-4ac19dcf21.jpg,,false,false,planned,
products,ProductImage,productImage,url,cmo77gx15000prz2afjck7y1j,PURJIX PREMIUM OPPO RENO 10 5G CHARGING PCB,Opp-Ren10-Cha-001,https://res.cloudinary.com/dkpdgdafm/image/upload/v1776690192/sparekart/products/1000195720_hfeoyg.jpg,/var/www/purjix-uploads/products/opp-ren10-cha-001-purjix-premium-oppo-reno-10-5g-charging-pcb-9bc761ff09.jpg,/uploads/products/opp-ren10-cha-001-purjix-premium-oppo-reno-10-5g-charging-pcb-9bc761ff09.jpg,,false,false,planned,
products,ProductImage,productImage,url,cmo77oasr000wrz2arof94zsr,PURJIX PREMIUM OPPO RENO 10 5G MIDDLE FRAME,Opp-Ren10-MidFra-001,https://res.cloudinary.com/dkpdgdafm/image/upload/v1776690533/sparekart/products/1000195709_hvmzgr.jpg,/var/www/purjix-uploads/products/opp-ren10-midfra-001-purjix-premium-oppo-reno-10-5g-middle-frame-17a2d0facc.jpg,/uploads/products/opp-ren10-midfra-001-purjix-premium-oppo-reno-10-5g-middle-frame-17a2d0facc.jpg,,false,false,planned,
products,ProductImage,productImage,url,cmo77toe80013rz2agegoi772,PURJIX PREMIUM OPPO RENO 10 5G RINGER / LOUDSPEAKER,Opp-Ren10-Rin-001,https://res.cloudinary.com/dkpdgdafm/image/upload/v1776690787/sparekart/products/1000195713_el3bqg.jpg,/var/www/purjix-uploads/products/opp-ren10-rin-001-purjix-premium-oppo-reno-10-5g-ringer-loudspeaker-47cbd8e181.jpg,/uploads/products/opp-ren10-rin-001-purjix-premium-oppo-reno-10-5g-ringer-loudspeaker-47cbd8e181.jpg,,false,false,planned,
products,ProductImage,productImage,url,cmo77vb6q0019rz2av9kthxba,PURJIX PREMIUM OPPO RENO 10 5G DISPLAY FINGERPRINT,Opp-Ren10-DisFin-001,https://res.cloudinary.com/dkpdgdafm/image/upload/v1776690864/sparekart/products/1000195714_hr6wer.jpg,/var/www/purjix-uploads/products/opp-ren10-disfin-001-purjix-premium-oppo-reno-10-5g-display-fingerprint-ed5f7195b5.jpg,/uploads/products/opp-ren10-disfin-001-purjix-premium-oppo-reno-10-5g-display-fingerprint-ed5f7195b5.jpg,,false,false,planned,
products,ProductImage,productImage,url,cmo77wovj001frz2af5sd2xnc,PURJIX PREMIUM OPPO RENO 10 5G MIDDLE FLEX,Opp-Ren10-MidFle-001,https://res.cloudinary.com/dkpdgdafm/image/upload/v1776690928/sparekart/products/1000195717_vlt8qw.jpg,/var/www/purjix-uploads/products/opp-ren10-midfle-001-purjix-premium-oppo-reno-10-5g-middle-flex-fc720fa97d.jpg,/uploads/products/opp-ren10-midfle-001-purjix-premium-oppo-reno-10-5g-middle-flex-fc720fa97d.jpg,,false,false,planned,
products,ProductImage,productImage,url,cmo77ylpg001lrz2a255wuich,PURJIX PREMIUM OPPO RENO 10 5G BATTERY,Opp-Ren10-Bat-001,https://res.cloudinary.com/dkpdgdafm/image/upload/v1776691013/sparekart/products/1000195671_xj9t7n.png,/var/www/purjix-uploads/products/opp-ren10-bat-001-purjix-premium-oppo-reno-10-5g-battery-acab2b3956.png,/uploads/products/opp-ren10-bat-001-purjix-premium-oppo-reno-10-5g-battery-acab2b3956.png,,false,false,planned,
products,ProductImage,productImage,url,cmo7836gm001rrz2atxauab0v,PURJIX PREMIUM OPPO RENO 10 5G SIM TRAY PCB,Opp-Ren10-SimTra-001,https://res.cloudinary.com/dkpdgdafm/image/upload/v1776691231/sparekart/products/1000195710_ur5lpp.jpg,/var/www/purjix-uploads/products/opp-ren10-simtra-001-purjix-premium-oppo-reno-10-5g-sim-tray-pcb-e1cf277ff3.jpg,/uploads/products/opp-ren10-simtra-001-purjix-premium-oppo-reno-10-5g-sim-tray-pcb-e1cf277ff3.jpg,,false,false,planned,
